datetime,symbol,open,high,low,close,volume
2024-01-01 07:00:00,CRYPTOCAP:TOTAL,1605123827305.0,1614077608608.0,1604102192493.0,1612569936649.0,79212428670.88957
2024-01-01 08:00:00,CRYPTOCAP:TOTAL,1612572539641.0,1621763143405.0,1610640539298.0,1618348329017.0,79212428670.88957
2024-01-01 09:00:00,CRYPTOCAP:TOTAL,1618348274616.0,1619076508878.0,1612173878365.0,1614176467124.0,79212428670.88957
2024-01-01 10:00:00,CRYPTOCAP:TOTAL,1614180187217.0,1614707696815.0,1600879270017.0,1603681925286.0,79212428670.88957
2024-01-01 11:00:00,CRYPTOCAP:TOTAL,1603693978948.0,1606492184492.0,1597076616120.0,1604669115137.0,79212428670.88957
2024-01-01 12:00:00,CRYPTOCAP:TOTAL,1604673304345.0,1605325175464.0,1598404248472.0,1599976420808.0,79212428670.88957
2024-01-01 13:00:00,CRYPTOCAP:TOTAL,1599974025397.0,1607227485421.0,1599072560662.0,1606373831159.0,79212428670.88957
2024-01-01 14:00:00,CRYPTOCAP:TOTAL,1606372962448.0,1610810342425.0,1606293006307.0,1609968591934.0,79212428670.88957
2024-01-01 15:00:00,CRYPTOCAP:TOTAL,1609968774970.0,1612042641665.0,1608300058323.0,1612020875210.0,79212428670.88957
2024-01-01 16:00:00,CRYPTOCAP:TOTAL,1612023623272.0,1618484551417.0,1611591367342.0,1617704561185.0,79212428670.88957
2024-01-01 17:00:00,CRYPTOCAP:TOTAL,1617700171601.0,1620701833548.0,1616863870290.0,1618818854554.0,79212428670.88957
2024-01-01 18:00:00,CRYPTOCAP:TOTAL,1618820904794.0,1621252535442.0,1616094268230.0,1619640269123.0,79212428670.88957
2024-01-01 19:00:00,CRYPTOCAP:TOTAL,1619641233273.0,1622532330587.0,1617217940284.0,1618465011196.0,79212428670.88957
2024-01-01 20:00:00,CRYPTOCAP:TOTAL,1618473222014.0,1622841649410.0,1616990726159.0,1621839603139.0,79212428670.88957
2024-01-01 21:00:00,CRYPTOCAP:TOTAL,1621836557144.0,1621838798627.0,1616715731162.0,1618372589279.0,79212428670.88957
2024-01-01 22:00:00,CRYPTOCAP:TOTAL,1618367531140.0,1627245934188.0,1617644455589.0,1626113641858.0,79212428670.88957
2024-01-01 23:00:00,CRYPTOCAP:TOTAL,1626112098028.0,1629651392308.0,1622087469039.0,1623892406611.0,79212428670.88957
2024-01-02 00:00:00,CRYPTOCAP:TOTAL,1623929559922.0,1627935606365.0,1623309185135.0,1627614124096.0,79212428670.88957
2024-01-02 01:00:00,CRYPTOCAP:TOTAL,1627609255993.0,1639685040679.0,1627603882135.0,1637135922104.0,79212428670.88957
2024-01-02 02:00:00,CRYPTOCAP:TOTAL,1637142460551.0,1649918015016.0,1636912254928.0,1648909907122.0,79212428670.88957
2024-01-02 03:00:00,CRYPTOCAP:TOTAL,1648912138380.0,1656089266540.0,1648901427203.0,1652329783048.0,79212428670.88957
2024-01-02 04:00:00,CRYPTOCAP:TOTAL,1652323180817.0,1654973300750.0,1646176756180.0,1650437221421.0,79212428670.88957
2024-01-02 05:00:00,CRYPTOCAP:TOTAL,1650453097557.0,1651766514521.0,1642679309963.0,1648695079022.0,79212428670.88957
2024-01-02 06:00:00,CRYPTOCAP:TOTAL,1648699293517.0,1666162182341.0,1648694615043.0,1666156224335.0,79212428670.88957
2024-01-02 07:00:00,CRYPTOCAP:TOTAL,1666168165919.0,1695272665098.0,1665215516460.0,1692735583208.0,130566400551.88931
2024-01-02 08:00:00,CRYPTOCAP:TOTAL,1692723389359.0,1701886949229.0,1682665912550.0,1687133118846.0,130566400551.88931
2024-01-02 09:00:00,CRYPTOCAP:TOTAL,1687134214647.0,1699412616759.0,1687133470442.0,1699406566908.0,130566400551.88931
2024-01-02 10:00:00,CRYPTOCAP:TOTAL,1699416390104.0,1700757089591.0,1691677068452.0,1699826619840.0,130566400551.88931
2024-01-02 11:00:00,CRYPTOCAP:TOTAL,1699853381106.0,1701006228091.0,1695362858821.0,1696863473638.0,130566400551.88931
2024-01-02 12:00:00,CRYPTOCAP:TOTAL,1696850459478.0,1700340605608.0,1693791087382.0,1694675022551.0,130566400551.88931
2024-01-02 13:00:00,CRYPTOCAP:TOTAL,1694680902884.0,1697979206061.0,1692769196118.0,1693550781303.0,130566400551.88931
2024-01-02 14:00:00,CRYPTOCAP:TOTAL,1693557657234.0,1705250816437.0,1693532972454.0,1702743110523.0,130566400551.88931
2024-01-02 15:00:00,CRYPTOCAP:TOTAL,1702754270215.0,1717745017555.0,1699046848175.0,1716105149800.0,130566400551.88931
2024-01-02 16:00:00,CRYPTOCAP:TOTAL,1716109852619.0,1719104689584.0,1712474861516.0,1714207184725.0,130566400551.88931
2024-01-02 17:00:00,CRYPTOCAP:TOTAL,1714223844664.0,1715179801124.0,1704807688404.0,1709258367806.0,130566400551.88931
2024-01-02 18:00:00,CRYPTOCAP:TOTAL,1709268617966.0,1712616691850.0,1696270621727.0,1702969145926.0,130566400551.88931
2024-01-02 19:00:00,CRYPTOCAP:TOTAL,1702963575942.0,1708251233892.0,1696264026041.0,1697377311595.0,130566400551.88931
2024-01-02 20:00:00,CRYPTOCAP:TOTAL,1697357618020.0,1708704458441.0,1695703117087.0,1706392672415.0,130566400551.88931
2024-01-02 21:00:00,CRYPTOCAP:TOTAL,1706407419527.0,1710531707198.0,1680957717826.0,1687939477120.0,130566400551.88931
2024-01-02 22:00:00,CRYPTOCAP:TOTAL,1687926450632.0,1689648353841.0,1673674380438.0,1684107780715.0,130566400551.88931
2024-01-02 23:00:00,CRYPTOCAP:TOTAL,1684093454567.0,1691957857513.0,1675660660537.0,1690992005828.0,130566400551.88931
2024-01-03 00:00:00,CRYPTOCAP:TOTAL,1690983489960.0,1691257558794.0,1676811750944.0,1679175125727.0,130566400551.88931
2024-01-03 01:00:00,CRYPTOCAP:TOTAL,1679174153101.0,1687617303787.0,1678299913576.0,1684342950915.0,130566400551.88931
2024-01-03 02:00:00,CRYPTOCAP:TOTAL,1684343156899.0,1688010903684.0,1674815211180.0,1682225730594.0,130566400551.88931
2024-01-03 03:00:00,CRYPTOCAP:TOTAL,1682217145456.0,1688048985946.0,1673010507730.0,1673643641569.0,130566400551.88931
2024-01-03 04:00:00,CRYPTOCAP:TOTAL,1673645893254.0,1682546582017.0,1668158649656.0,1682538167798.0,130566400551.88931
2024-01-03 05:00:00,CRYPTOCAP:TOTAL,1682535489752.0,1688018217649.0,1675700696872.0,1679680905852.0,130566400551.88931
2024-01-03 06:00:00,CRYPTOCAP:TOTAL,1679682868760.0,1681287102643.0,1672742510320.0,1677098341451.0,130566400551.88931
2024-01-03 07:00:00,CRYPTOCAP:TOTAL,1677111197046.0,1686308229276.0,1673964725925.0,1683400834964.0,174632992858.50217
2024-01-03 08:00:00,CRYPTOCAP:TOTAL,1683399761464.0,1690229582983.0,1682514617343.0,1690002345248.0,174632992858.50217
2024-01-03 09:00:00,CRYPTOCAP:TOTAL,1690003041037.0,1693753552021.0,1686301759580.0,1687588670318.0,174632992858.50217
2024-01-03 10:00:00,CRYPTOCAP:TOTAL,1687578609005.0,1688151873638.0,1683915505632.0,1687379464982.0,174632992858.50217
2024-01-03 11:00:00,CRYPTOCAP:TOTAL,1687377017940.0,1690421735546.0,1684481346350.0,1688019266819.0,174632992858.50217
2024-01-03 12:00:00,CRYPTOCAP:TOTAL,1688016313982.0,1693343983149.0,1686217872603.0,1690404106698.0,174632992858.50217
2024-01-03 13:00:00,CRYPTOCAP:TOTAL,1690383261381.0,1695578715433.0,1689007414521.0,1693943748283.0,174632992858.50217
2024-01-03 14:00:00,CRYPTOCAP:TOTAL,1693943900098.0,1695851962342.0,1680352264492.0,1683243141512.0,174632992858.50217
2024-01-03 15:00:00,CRYPTOCAP:TOTAL,1683231282070.0,1689964917436.0,1682952601926.0,1689841271752.0,174632992858.50217
2024-01-03 16:00:00,CRYPTOCAP:TOTAL,1689841730298.0,1701400165314.0,1689311838872.0,1696439554455.0,174632992858.50217
2024-01-03 17:00:00,CRYPTOCAP:TOTAL,1696442221246.0,1698935275058.0,1685697043884.0,1689694577834.0,174632992858.50217
2024-01-03 18:00:00,CRYPTOCAP:TOTAL,1689699502477.0,1690521493674.0,1636852995736.0,1642314673337.0,174632992858.50217
2024-01-03 19:00:00,CRYPTOCAP:TOTAL,1642306425101.0,1642616208373.0,1507535324084.0,1599615936028.0,174632992858.50217
2024-01-03 20:00:00,CRYPTOCAP:TOTAL,1599643927669.0,1599929507742.0,1577516379587.0,1587025747912.0,174632992858.50217
2024-01-03 21:00:00,CRYPTOCAP:TOTAL,1587020643150.0,1587369011729.0,1566968229358.0,1571688761469.0,174632992858.50217
2024-01-03 22:00:00,CRYPTOCAP:TOTAL,1571682525691.0,1604247682454.0,1571627677707.0,1604033879890.0,174632992858.50217
2024-01-03 23:00:00,CRYPTOCAP:TOTAL,1604057818215.0,1617223307740.0,1594849912881.0,1602172793935.0,174632992858.50217
2024-01-04 00:00:00,CRYPTOCAP:TOTAL,1602142328581.0,1603534426773.0,1589201977563.0,1597768060086.0,174632992858.50217
2024-01-04 01:00:00,CRYPTOCAP:TOTAL,1597775491592.0,1602760705189.0,1571763099252.0,1576494791024.0,174632992858.50217
2024-01-04 02:00:00,CRYPTOCAP:TOTAL,1576534332820.0,1600693852263.0,1574946248605.0,1587059587289.0,174632992858.50217
2024-01-04 03:00:00,CRYPTOCAP:TOTAL,1587059258514.0,1599007444553.0,1585248929546.0,1595287634253.0,174632992858.50217
2024-01-04 04:00:00,CRYPTOCAP:TOTAL,1595342233420.0,1603649402215.0,1591123602524.0,1602520176743.0,174632992858.50217
2024-01-04 05:00:00,CRYPTOCAP:TOTAL,1602529976714.0,1602855182008.0,1588007964685.0,1593041879439.0,174632992858.50217
2024-01-04 06:00:00,CRYPTOCAP:TOTAL,1593048179700.0,1594515602185.0,1585871145262.0,1594470761962.0,174632992858.50217
2024-01-04 07:00:00,CRYPTOCAP:TOTAL,1594470461932.0,1601777783040.0,1592660415294.0,1596725616315.0,159894005710.4781
2024-01-04 08:00:00,CRYPTOCAP:TOTAL,1596709914184.0,1598934135476.0,1584616589873.0,1588050498318.0,159894005710.4781
2024-01-04 09:00:00,CRYPTOCAP:TOTAL,1588046919000.0,1607053644088.0,1587242880259.0,1605673926456.0,159894005710.4781
2024-01-04 10:00:00,CRYPTOCAP:TOTAL,1605680213476.0,1609074183928.0,1601063477046.0,1605486836043.0,159894005710.4781
2024-01-04 11:00:00,CRYPTOCAP:TOTAL,1605488995584.0,1610226915476.0,1601562961545.0,1608258782504.0,159894005710.4781
2024-01-04 12:00:00,CRYPTOCAP:TOTAL,1608253712362.0,1612928106373.0,1605019879894.0,1609221449655.0,159894005710.4781
2024-01-04 13:00:00,CRYPTOCAP:TOTAL,1609222186199.0,1612344488237.0,1606458088446.0,1609227954184.0,159894005710.4781
2024-01-04 14:00:00,CRYPTOCAP:TOTAL,1609225693180.0,1612676379234.0,1595603792290.0,1595608340692.0,159894005710.4781
2024-01-04 15:00:00,CRYPTOCAP:TOTAL,1595614966144.0,1600128435341.0,1591933731060.0,1596213112049.0,159894005710.4781
2024-01-04 16:00:00,CRYPTOCAP:TOTAL,1596217718092.0,1605483554157.0,1596201536426.0,1602079391271.0,159894005710.4781
2024-01-04 17:00:00,CRYPTOCAP:TOTAL,1602086501293.0,1604528864543.0,1589013545982.0,1602094840058.0,159894005710.4781
2024-01-04 18:00:00,CRYPTOCAP:TOTAL,1602097759152.0,1607518949208.0,1597126189736.0,1605267509312.0,159894005710.4781
